"El misterio de la vida no es un problema a resolver, sino una realidad a experimentar" Duna, Frank Herbert
"Estar solo no tiene nada que ver con cuantas personas hay alrededor" Revolutionary Road, Richard Yates
"El hombre débil se vuelve fuerte cuando no tiene nada, porque sólo entonces puede sentir la locura de la desesperación" La compañía blanca, Arthur Conan Doyle
"Si buscas la perfección nunca estarás contento" (Anna Karenina, Leon Tolstoy)
"Mientras el corazón late, mientras el cuerpo y alma siguen juntos, no puedo admitir que cualquier criatura dotada de voluntad tiene necesidad de perder la esperanza en la vida" (Viaje al centro de la tierra, Julio Verne)
"No puedo morir aún doctor. Todavía no. Tengo cosas que hacer. Después de todo, tendré una vida entera en la que morir" (El Juego del Ángel, Carlos Ruiz Zafón)
"Tengo esperanza o podría no vivir" (La isla del doctor Moreau, H.G. Wells)
"Llamo a la gente “rica” cuando son capaces de satisfacer las necesidades de su imaginación" (El retrato de una dama, Henry James)
"El sol es débil cuando se eleva primero, y cobra fuerza y coraje a medida que avanza el día" (Vieja tienda de curiosidades, Charles Dickens)
"Es en las noches de diciembre, cuando el termómetro está a cero, cuando más pensamos en el sol" (Los miserables, Victor Hugo)
"Cada libro, cada volumen que ves aquí, tiene un alma. El alma de la persona que lo escribió y de aquellos que lo leyeron, vivieron y soñaron con él. Cada vez que un libro cambia de manos, cada vez que alguien baja sus ojos a las páginas, su espíritu crece y se fortalece" (La Sombra del Viento, Carlos Ruiz Zafón)
"Mi consejo es: nunca hagas mañana lo que puedes hacer hoy. La procrastinación es la ladrona del tiempo" (David Copperfield, Charles Dickens)
"Luchar hasta el último aliento" (Enrique VI, William Shakespeare)
"Conseguir lo que quieres es tan difícil como no conseguir lo que quieres. Porque entonces tienes que averiguar qué hacer con ello, en lugar de averiguar qué hacer sin ello" (El reino de la posibilidad, David Levithan)
"Deja de preocuparte por envejecer y piensa en crecer" (El animal moribundo, Philip Roth)
"Crearía un perfume que no sólo fuera humano, sino sobrehumano. Un aroma de ángel, tan indescriptiblemente bueno y pletórico de vigor que quien lo oliera quedaría hechizado y no tendría más remedio que amar a la persona que lo llevara, o sea, amarle a él, Grenouille, con todo su corazón" (El Perfume, Patrick Süskind)
"¡Qué maravilloso es que nadie necesite esperar ni un solo momento antes de comenzar a mejorar el mundo!" (El Diario de Ana Frank, Ana Frank)
"Crees que sabes todas tus posibilidades. Entonces, otras personas llegan a tu vida y de repente hay muchas más" (El reino de la posibilidad, David Levithan)
"Nada hay en el mundo, ni hombre ni diablo ni cosa alguna, que sea para mí tan sospechoso como el amor, pues éste penetra en el alma más que cualquier otra cosa. Nada hay que ocupe y ate más al corazón que el amor. Por eso, cuando no dispone de armas para gobernarse, el alma se hunde, por el amor, en la más honda de las ruinas" (El Nombre de la Rosa, Umberto Eco)
"Seas quien seas, hagas lo que hagas, cuando deseas con firmeza alguna cosa es porque este deseo nació en el alma del universo. Es tu misión en la tierra" (El Alquimista, Paulo Coelho)
